batter,Innings,Batsman Runs,Average,Strike Rate,Not Outs,Total Fours,Total Sixes
A Badoni,11,161,20.12,123.85,6.0,11,7
A Manohar,7,108,18.0,144.0,8.0,14,3
A Nortje,1,1,,16.67,,0,0
A Tomar,1,4,4.0,50.0,13.0,1,0
AD Russell,12,335,37.22,177.25,5.0,18,32
AJ Finch,5,86,17.2,140.98,9.0,10,3
AK Markram,12,381,47.62,139.56,6.0,25,19
AM Rahane,7,133,19.0,103.91,7.0,14,4
AR Patel,10,182,45.5,151.67,10.0,12,10
AS Joseph,3,5,5.0,71.43,13.0,0,0
AS Roy,1,0,0.0,0.0,13.0,0,0
AT Rayudu,11,274,24.91,122.87,3.0,25,15
Abdul Samad,2,4,2.0,57.14,12.0,0,0
Abhishek Sharma,14,426,30.43,133.54,0.0,47,13
Akash Deep,1,0,0.0,0.0,13.0,0,0
Aman Hakim Khan,1,5,5.0,166.67,13.0,1,0
Anmolpreet Singh,2,13,6.5,100.0,12.0,1,0
Anuj Rawat,8,129,16.12,109.32,6.0,10,7
Arshdeep Singh,6,21,7.0,72.41,11.0,3,0
Avesh Khan,4,22,22.0,169.23,13.0,0,3
B Indrajith,3,21,7.0,70.0,11.0,2,0
B Kumar,6,24,8.0,96.0,11.0,3,0
B Sai Sudharsan,5,145,36.25,128.32,10.0,14,3
CJ Jordan,2,11,11.0,137.5,13.0,0,0
CV Varun,3,12,,66.67,,2,0
D Brevis,7,161,23.0,142.48,7.0,14,11
D Padikkal,14,337,24.07,128.14,0.0,39,12
D Pretorius,5,44,11.0,157.14,10.0,3,3
DA Miller,14,381,54.43,136.56,7.0,26,17
DA Warner,12,432,48.0,151.05,5.0,52,15
DJ Bravo,6,23,11.5,95.83,12.0,1,1
DJ Hooda,13,406,31.23,133.99,1.0,35,14
DJ Mitchell,2,33,16.5,75.0,12.0,1,0
DJ Willey,2,18,9.0,60.0,12.0,3,0
DP Conway,7,252,42.0,146.51,8.0,23,12
DR Sams,10,38,5.43,105.56,7.0,1,3
E Lewis,4,71,23.67,142.0,11.0,8,3
F du Plessis,14,443,34.08,130.68,1.0,46,13
FA Allen,1,8,8.0,114.29,13.0,1,0
Fazalhaq Farooqi,1,2,,25.0,,0,0
GJ Maxwell,11,268,29.78,174.03,5.0,30,12
HE van der Dussen,3,22,11.0,91.67,12.0,2,0
HH Pandya,13,413,41.3,131.95,4.0,41,11
HR Shokeen,2,43,21.5,89.58,12.0,5,0
HV Patel,6,42,10.5,113.51,10.0,4,2
Harpreet Brar,3,22,7.33,88.0,11.0,1,2
Harshit Rana,2,2,2.0,100.0,13.0,0,0
Ishan Kishan,14,418,32.15,120.46,1.0,45,11
J Suchith,2,2,1.0,25.0,12.0,0,0
JC Buttler,14,629,48.38,148.35,1.0,57,37
JD Unadkat,5,59,19.67,159.46,11.0,4,3
JDS Neesham,2,31,15.5,114.81,12.0,3,0
JJ Bumrah,4,0,0.0,0.0,12.0,0,0
JM Bairstow,11,253,23.0,146.24,3.0,34,9
JM Sharma,10,234,29.25,163.64,6.0,22,12
JO Holder,8,58,9.67,131.82,8.0,2,6
JR Hazlewood,4,17,,70.83,,1,0
K Gowtham,1,0,0.0,0.0,13.0,0,0
K Kartikeya,1,3,3.0,60.0,13.0,0,0
K Rabada,7,48,9.6,114.29,9.0,5,2
KA Pollard,11,144,14.4,108.27,4.0,6,9
KD Karthik,14,287,57.4,193.92,9.0,22,21
KH Pandya,12,183,22.88,127.08,6.0,16,4
KK Ahmed,2,0,0.0,0.0,12.0,0,0
KK Nair,2,16,8.0,88.89,12.0,1,0
KL Rahul,13,537,48.82,135.61,3.0,42,25
KR Sen,1,0,,0.0,,0,0
KS Bharat,2,8,4.0,114.29,12.0,2,0
KS Sharma,1,4,4.0,100.0,13.0,1,0
KS Williamson,12,216,19.64,93.51,3.0,16,8
Kartik Tyagi,2,7,3.5,116.67,12.0,1,0
Kuldeep Yadav,7,48,48.0,92.31,13.0,3,2
LH Ferguson,2,5,2.5,125.0,12.0,1,0
LS Livingstone,14,437,36.42,183.61,2.0,29,34
Lalit Yadav,8,161,23.0,111.81,7.0,11,7
M Ashwin,4,12,4.0,85.71,11.0,1,1
M Jansen,2,9,9.0,128.57,13.0,0,1
M Prasidh Krishna,2,6,6.0,50.0,13.0,0,0
M Shahrukh Khan,8,117,16.71,108.33,7.0,4,9
M Theekshana,2,7,7.0,100.0,13.0,0,1
MA Agarwal,12,196,16.33,122.5,2.0,23,6
MJ Santner,4,22,11.0,81.48,12.0,3,0
MK Lomror,3,64,21.33,168.42,11.0,5,4
MK Pandey,6,88,14.67,110.0,8.0,9,2
MM Ali,10,244,24.4,137.85,4.0,24,11
MP Stoinis,9,147,21.0,151.55,7.0,7,12
MR Marsh,8,251,31.38,132.8,6.0,19,14
MS Dhoni,12,232,33.14,124.73,7.0,21,10
MS Wade,8,114,14.25,116.33,6.0,17,1
Mandeep Singh,3,18,6.0,78.26,11.0,4,0
Mohammed Siraj,4,30,15.0,90.91,12.0,5,0
Mohsin Khan,3,23,23.0,143.75,13.0,2,1
Mukesh Choudhary,2,6,6.0,100.0,13.0,1,0
Mustafizur Rahman,1,3,,60.0,,0,0
N Jagadeesan,2,40,40.0,108.11,13.0,3,1
N Pooran,13,306,38.25,144.34,6.0,16,21
N Rana,14,361,27.77,144.98,1.0,29,22
NM Coulter-Nile,1,1,,50.0,,0,0
NT Ellis,1,0,0.0,0.0,13.0,0,0
Navdeep Saini,1,2,2.0,100.0,13.0,0,0
OF Smith,6,51,17.0,115.91,11.0,1,5
P Simran Singh,1,14,14.0,127.27,13.0,2,0
PBB Rajapaksa,9,206,22.89,160.94,5.0,16,13
PJ Cummins,5,63,15.75,273.91,10.0,5,6
PJ Sangwan,1,2,2.0,40.0,13.0,0,0
PK Garg,2,46,23.0,139.39,12.0,4,2
PN Mankad,1,4,,400.0,,1,0
PP Shaw,10,283,28.3,152.97,4.0,37,10
PVD Chameera,6,32,8.0,133.33,10.0,2,2
PWH de Silva,6,38,6.33,90.48,8.0,4,1
Q de Kock,14,502,38.62,149.85,1.0,47,22
R Ashwin,10,183,30.5,147.58,8.0,14,9
R Dhawan,4,37,18.5,92.5,12.0,4,2
R Parag,12,164,18.22,143.86,5.0,10,10
R Powell,12,250,25.0,149.7,4.0,10,22
R Sanjay Yadav,1,0,0.0,0.0,13.0,0,0
R Shepherd,3,58,29.0,145.0,12.0,2,5
R Tewatia,12,217,31.0,147.62,7.0,22,9
RA Bawa,2,11,5.5,78.57,12.0,1,0
RA Jadeja,10,116,19.33,118.37,8.0,6,5
RA Tripathi,14,413,34.42,158.85,2.0,40,20
RD Chahar,8,77,12.83,113.24,8.0,7,4
RD Gaikwad,14,368,26.29,127.34,0.0,33,14
RG Sharma,14,268,19.14,120.72,0.0,28,13
RK Singh,7,174,34.8,148.72,9.0,17,7
RM Patidar,5,163,32.6,133.61,9.0,11,8
RP Meredith,1,0,,0.0,,0,0
RR Pant,13,340,30.91,153.15,3.0,35,16
RV Patel,1,6,6.0,200.0,13.0,0,1
RV Uthappa,11,230,20.91,135.29,3.0,19,14
Ramandeep Singh,4,45,22.5,115.38,12.0,3,1
Rashid Khan,8,91,22.75,206.82,10.0,3,9
Rasikh Salam,1,7,7.0,116.67,13.0,1,0
Ravi Bishnoi,1,0,,0.0,,0,0
S Dhawan,14,460,38.33,123.66,2.0,47,12
S Dube,11,289,28.9,157.07,4.0,22,16
S Gopal,1,9,,128.57,,2,0
SA Abbott,1,7,7.0,140.0,13.0,0,1
SA Yadav,8,303,43.29,147.09,7.0,23,16
SE Rutherford,2,33,16.5,66.0,12.0,1,1
SN Khan,5,91,30.33,135.82,11.0,9,2
SN Thakur,10,120,15.0,137.93,6.0,7,7
SO Hetmyer,12,297,59.4,163.19,9.0,19,21
SP Jackson,5,23,5.75,88.46,10.0,0,1
SP Narine,9,71,8.88,177.5,6.0,6,6
SS Iyer,14,401,30.85,134.56,1.0,41,11
SS Prabhudessai,5,67,13.4,115.52,9.0,7,2
SV Samson,14,374,28.77,147.83,1.0,35,21
SW Billings,8,169,24.14,123.36,7.0,9,10
Shahbaz Ahmed,10,207,25.88,121.05,6.0,13,8
Shashank Singh,5,69,17.25,146.81,10.0,5,4
Shivam Mavi,3,3,1.5,42.86,12.0,0,0
Shubman Gill,14,403,31.0,135.23,1.0,43,9
Simarjeet Singh,3,7,7.0,87.5,13.0,0,0
T Stubbs,2,2,1.0,50.0,12.0,0,0
TA Boult,6,29,29.0,131.82,13.0,2,0
TG Southee,5,2,0.5,16.67,10.0,0,0
TH David,8,186,37.2,216.28,9.0,12,16
TL Seifert,2,24,12.0,126.32,12.0,4,0
TS Mills,2,0,0.0,0.0,13.0,0,0
Tilak Varma,14,397,36.09,131.46,3.0,29,16
UT Yadav,7,55,13.75,137.5,10.0,4,4
Umran Malik,4,4,4.0,50.0,13.0,0,0
V Kohli,14,309,23.77,117.94,1.0,30,7
V Shankar,4,19,4.75,54.29,10.0,1,0
VG Arora,4,5,2.5,38.46,12.0,0,0
VR Iyer,12,182,16.55,107.69,3.0,17,7
WP Saha,9,312,39.0,124.8,6.0,39,7
Washington Sundar,7,101,14.43,146.38,7.0,9,3
YBK Jaiswal,7,212,30.29,137.66,7.0,26,6
YS Chahal,1,5,5.0,62.5,13.0,0,0
Yash Dayal,1,0,0.0,0.0,13.0,0,0
