Player,Batsman Runs,Average,Strike Rate,Wickets,Economy
A Badoni,161,20.12,123.85,2,6.0
A Nortje,1,,16.67,9,9.19
AD Russell,335,37.22,177.25,21,9.61
AK Markram,381,47.62,139.56,1,10.67
AR Patel,182,45.5,151.67,6,7.43
AS Joseph,5,5.0,71.43,8,8.39
AS Roy,0,0.0,0.0,1,7.86
Abdul Samad,4,2.0,57.14,0,8.0
Abhishek Sharma,426,30.43,133.54,0,9.75
Akash Deep,0,0.0,0.0,6,10.39
Aman Hakim Khan,5,5.0,166.67,0,13.0
Arshdeep Singh,21,7.0,72.41,12,7.61
Avesh Khan,22,22.0,169.23,18,8.3
B Kumar,24,8.0,96.0,13,7.16
CJ Jordan,11,11.0,137.5,3,10.2
CV Varun,12,,66.67,6,8.28
D Brevis,161,23.0,142.48,1,16.0
D Pretorius,44,11.0,157.14,7,9.26
DJ Bravo,23,11.5,95.83,17,7.94
DJ Hooda,406,31.23,133.99,1,10.75
DJ Mitchell,33,16.5,75.0,0,12.46
DJ Willey,18,9.0,60.0,1,6.82
DR Sams,38,5.43,105.56,14,8.21
FA Allen,8,8.0,114.29,1,11.5
Fazalhaq Farooqi,2,,25.0,2,8.68
GJ Maxwell,268,29.78,174.03,8,6.98
HH Pandya,413,41.3,131.95,4,7.66
HR Shokeen,43,21.5,89.58,2,8.3
HV Patel,42,10.5,113.51,20,7.52
Harpreet Brar,22,7.33,88.0,4,8.88
Harshit Rana,2,2.0,100.0,1,10.06
J Suchith,2,1.0,25.0,7,7.36
JD Unadkat,59,19.67,159.46,7,9.32
JDS Neesham,31,15.5,114.81,0,9.67
JJ Bumrah,0,0.0,0.0,16,7.19
JO Holder,58,9.67,131.82,16,9.0
JR Hazlewood,17,,70.83,16,7.89
K Gowtham,0,0.0,0.0,5,8.42
K Kartikeya,3,3.0,60.0,5,7.92
K Rabada,48,9.6,114.29,23,8.2
KA Pollard,144,14.4,108.27,4,8.97
KH Pandya,183,22.88,127.08,10,6.67
KK Ahmed,0,0.0,0.0,16,7.81
KR Sen,0,,0.0,8,9.17
Kartik Tyagi,7,3.5,116.67,1,8.78
Kuldeep Yadav,48,48.0,92.31,21,8.24
LH Ferguson,5,2.5,125.0,16,8.81
LS Livingstone,437,36.42,183.61,6,8.42
Lalit Yadav,161,23.0,111.81,4,8.29
M Ashwin,12,4.0,85.71,9,7.81
M Jansen,9,9.0,128.57,7,8.3
M Prasidh Krishna,6,6.0,50.0,17,7.57
M Theekshana,7,7.0,100.0,12,7.56
MJ Santner,22,11.0,81.48,4,7.11
MK Lomror,64,21.33,168.42,0,9.0
MM Ali,244,24.4,137.85,8,6.53
MP Stoinis,147,21.0,151.55,4,10.77
MR Marsh,251,31.38,132.8,4,8.05
Mohammed Siraj,30,15.0,90.91,8,9.45
Mohsin Khan,23,23.0,143.75,13,5.87
Mukesh Choudhary,6,6.0,100.0,16,8.76
Mustafizur Rahman,3,,60.0,9,7.48
N Rana,361,27.77,144.98,0,11.5
NM Coulter-Nile,1,,50.0,0,14.7
NT Ellis,0,0.0,0.0,4,8.55
Navdeep Saini,2,2.0,100.0,3,11.23
OF Smith,51,17.0,115.91,7,11.31
PJ Cummins,63,15.75,273.91,8,10.35
PJ Sangwan,2,2.0,40.0,3,7.07
PVD Chameera,32,8.0,133.33,11,8.04
PWH de Silva,38,6.33,90.48,25,7.47
R Ashwin,183,30.5,147.58,11,6.93
R Dhawan,37,18.5,92.5,6,8.27
R Parag,164,18.22,143.86,1,13.62
R Powell,250,25.0,149.7,0,14.57
R Sanjay Yadav,0,0.0,0.0,0,9.86
R Shepherd,58,29.0,145.0,4,10.32
R Tewatia,217,31.0,147.62,1,12.67
RA Jadeja,116,19.33,118.37,6,7.45
RD Chahar,77,12.83,113.24,14,7.55
RP Meredith,0,,0.0,10,7.99
Ramandeep Singh,45,22.5,115.38,6,8.05
Rashid Khan,91,22.75,206.82,19,7.01
Rasikh Salam,7,7.0,116.67,0,7.0
Ravi Bishnoi,0,,0.0,13,7.94
S Dube,289,28.9,157.07,0,17.14
S Gopal,9,,128.57,1,11.33
SA Abbott,7,7.0,140.0,1,10.44
SN Thakur,120,15.0,137.93,16,9.24
SP Narine,71,8.88,177.5,10,5.6
SS Iyer,401,30.85,134.56,0,7.0
Shahbaz Ahmed,207,25.88,121.05,4,8.8
Shashank Singh,69,17.25,146.81,0,9.23
Shivam Mavi,3,1.5,42.86,5,9.68
Simarjeet Singh,7,7.0,87.5,4,7.59
TA Boult,29,29.0,131.82,15,8.05
TG Southee,2,0.5,16.67,16,7.75
TS Mills,0,0.0,0.0,6,10.77
Tilak Varma,397,36.09,131.46,0,6.5
UT Yadav,55,13.75,137.5,16,7.15
Umran Malik,4,4.0,50.0,23,8.72
V Shankar,19,4.75,54.29,1,9.0
VG Arora,5,2.5,38.46,4,9.0
VR Iyer,182,16.55,107.69,0,11.5
Washington Sundar,101,14.43,146.38,6,8.44
YBK Jaiswal,212,30.29,137.66,0,36.0
YS Chahal,5,5.0,62.5,28,7.46
Yash Dayal,0,0.0,0.0,9,8.7
